iter	Passed	Remaining
462	750	871
463	751	868
464	754	868
465	755	865
466	756	863
467	757	861
468	758	858
469	759	856
470	760	853
471	760	851
472	761	848
473	762	846
474	764	844
475	765	842
476	766	840
477	767	837
478	770	837
479	771	835
480	772	833
481	773	830
482	773	828
483	774	826
484	776	824
485	776	821
486	777	819
487	778	816
488	779	814
489	780	812
490	781	810
491	785	811
492	786	809
493	787	806
494	788	804
495	789	802
496	790	799
497	791	797
498	792	795
499	792	792
500	793	790
501	794	788
502	795	786
503	796	784
504	797	781
505	799	780
506	801	779
507	802	777
508	803	775
509	806	775
510	808	773
511	809	771
512	811	770
513	813	769
514	815	767
515	816	765
516	817	764
517	819	762
518	821	761
519	822	759
520	823	757
521	824	755
522	827	754
523	829	753
524	830	751
525	832	749
526	833	748
527	835	746
528	836	744
529	837	742
530	838	740
531	840	739
532	848	743
533	849	741
534	852	740
535	853	739
536	855	737
537	861	739
538	865	740
539	866	738
540	868	736
541	872	737
542	874	736
543	876	734
544	877	732
545	878	730
546	880	728
547	881	726
548	882	725
549	888	726
550	889	724
551	890	722
552	892	721
553	893	719
554	894	717
555	895	715
556	896	713
557	897	711
558	904	713
559	906	711
560	907	710
561	908	708
562	909	706
563	910	704
564	911	702
565	913	700
566	914	698
567	916	696
568	917	694
569	918	693
570	919	691
571	923	690
572	924	688
573	925	687
574	927	685
575	929	684
576	931	682
577	932	680
578	933	679
579	935	677
580	936	675
581	940	675
582	942	673
583	943	672
584	945	670
585	946	668
586	947	666
587	951	666
588	959	669
589	960	667
590	962	665
591	963	664
592	964	662
593	966	660
594	967	658
595	975	661
596	979	661
597	980	659
598	982	657
599	983	655
600	993	659
601	995	658
602	997	656
603	998	654
604	1000	652
605	1004	653
606	1006	651
607	1007	649
608	1008	647
609	1010	645
610	1011	643
611	1012	641
612	1015	641
613	1019	641
614	1022	639
615	1023	638
616	1024	636
617	1026	634
618	1027	632
619	1036	635
620	1038	633
621	1039	631
622	1040	629
623	1042	627
624	1043	626
625	1050	627
626	1051	625
627	1053	623
628	1054	621
629	1056	620
630	1057	618
631	1065	620
632	1067	618
633	1068	617
634	1070	615
635	1071	613
636	1073	611
637	1081	613
638	1084	612
639	1086	610
640	1089	610
641	1093	609
642	1094	607
643	1096	606
644	1097	604
645	1099	602
646	1101	600
647	1108	602
648	1111	601
649	1112	599
650	1114	597
651	1122	599
652	1124	597
653	1128	597
654	1130	595
655	1139	597
656	1140	595
657	1145	595
658	1147	593
659	1155	595
660	1157	593
661	1158	591
662	1159	589
663	1161	587
664	1162	585
665	1170	586
666	1171	584
667	1174	583
668	1176	581
669	1178	580
670	1187	582
671	1191	581
672	1192	579
673	1199	580
674	1200	578
675	1202	576
676	1203	574
677	1208	573
678	1211	572
679	1212	570
680	1213	568
681	1215	566
682	1217	565
683	1229	568
684	1231	566
685	1232	564
686	1233	562
687	1243	563
688	1245	562
689	1246	560
690	1248	558
691	1250	556
692	1266	561
693	1274	562
694	1275	559
695	1277	557
696	1278	555
697	1279	553
698	1281	551
699	1282	549
700	1290	550
701	1291	548
702	1293	546
703	1294	544
704	1296	542
705	1297	540
706	1307	541
707	1309	540
708	1311	538
709	1312	536
710	1313	534
711	1324	535
712	1326	533
